"","iso3","var_short","year","mean_value","var_long","residence"
"1","AFG","s_imp_r",2003,27.2793274169641,"Improved","rural"
"2","AFG","s_imp_r",2005,31.1753431216186,"Improved","rural"
"3","AFG","s_imp_r",2008,30.1,"Improved","rural"
"4","AFG","s_imp_r",2011,44.2,"Improved","rural"
"5","AFG","s_imp_r",2012,36.35,"Improved","rural"
"6","AFG","s_imp_r",2014,27,"Improved","rural"
"7","AFG","s_imp_r",2015,48.05,"Improved","rural"
"8","AFG","s_imp_r",2017,43.79,"Improved","rural"
"9","AFG","s_imp_r",2020,61.93846,"Improved","rural"
"10","AFG","s_imp_u",2003,44.2,"Improved","urban"
"11","AFG","s_imp_u",2005,62.277633324992,"Improved","urban"
"12","AFG","s_imp_u",2008,58.3,"Improved","urban"
"13","AFG","s_imp_u",2011,70.9,"Improved","urban"
"14","AFG","s_imp_u",2012,62,"Improved","urban"
"15","AFG","s_imp_u",2014,76.6,"Improved","urban"
"16","AFG","s_imp_u",2015,83.6,"Improved","urban"
"17","AFG","s_imp_u",2017,83.26,"Improved","urban"
"18","AFG","s_imp_u",2020,83.48372,"Improved","urban"
"19","AFG","s_od_r",2003,34.9100280683848,"Open defecation","rural"
"20","AFG","s_od_r",2005,14.71720862785,"Open defecation","rural"
"21","AFG","s_od_r",2008,25.6,"Open defecation","rural"
"22","AFG","s_od_r",2011,21.3,"Open defecation","rural"
"23","AFG","s_od_r",2014,24.8,"Open defecation","rural"
"24","AFG","s_od_r",2015,16.1,"Open defecation","rural"
"25","AFG","s_od_r",2017,17.73,"Open defecation","rural"
"26","AFG","s_od_r",2020,14.92387,"Open defecation","rural"
"27","AFG","s_od_u",2003,12.8,"Open defecation","urban"
"28","AFG","s_od_u",2005,0.1832139882376,"Open defecation","urban"
"29","AFG","s_od_u",2008,0.5,"Open defecation","urban"
"30","AFG","s_od_u",2011,0.6,"Open defecation","urban"
"31","AFG","s_od_u",2014,0.7,"Open defecation","urban"
"32","AFG","s_od_u",2015,1.4,"Open defecation","urban"
"33","AFG","s_od_u",2017,0.53,"Open defecation","urban"
"34","AFG","s_od_u",2020,0.24861,"Open defecation","urban"
"35","AFG","s_sep_r",2011,1,"Septic","rural"
"36","AFG","s_sep_r",2014,1,"Septic","rural"
"37","AFG","s_sep_r",2015,3,"Septic","rural"
"38","AFG","s_sep_r",2017,1.02,"Septic","rural"
"39","AFG","s_sep_r",2020,1.86152,"Septic","rural"
"40","AFG","s_sep_u",2011,22.8,"Septic","urban"
"41","AFG","s_sep_u",2014,21.7,"Septic","urban"
"42","AFG","s_sep_u",2015,34.9,"Septic","urban"
"43","AFG","s_sep_u",2017,33.71,"Septic","urban"
"44","AFG","s_sep_u",2020,22.59006,"Septic","urban"
"45","AFG","s_sew_r",2003,0.4,"Sewer","rural"
"46","AFG","s_sew_r",2011,2.2,"Sewer","rural"
"47","AFG","s_sew_r",2014,0.4,"Sewer","rural"
"48","AFG","s_sew_r",2015,0.3,"Sewer","rural"
"49","AFG","s_sew_r",2017,0.58,"Sewer","rural"
"50","AFG","s_sew_r",2020,1.69396,"Sewer","rural"
"51","AFG","s_sew_u",2003,8.2,"Sewer","urban"
"52","AFG","s_sew_u",2011,4.5,"Sewer","urban"
"53","AFG","s_sew_u",2014,13.4,"Sewer","urban"
"54","AFG","s_sew_u",2015,9.9,"Sewer","urban"
"55","AFG","s_sew_u",2017,4.53,"Sewer","urban"
"56","AFG","s_sew_u",2020,9.97665,"Sewer","urban"
"57","AFG","s_shared_r",2008,16.7,"Shared","rural"
"58","AFG","s_shared_r",2011,6.349,"Shared","rural"
"59","AFG","s_shared_r",2012,17,"Shared","rural"
"60","AFG","s_shared_r",2014,19.5,"Shared","rural"
"61","AFG","s_shared_r",2015,8.38894184938036,"Shared","rural"
"62","AFG","s_shared_r",2017,15.7,"Shared","rural"
"63","AFG","s_shared_u",2008,35.7,"Shared","urban"
"64","AFG","s_shared_u",2011,15.371,"Shared","urban"
"65","AFG","s_shared_u",2012,37.5,"Shared","urban"
"66","AFG","s_shared_u",2014,33.6,"Shared","urban"
"67","AFG","s_shared_u",2015,13.6363636363636,"Shared","urban"
"68","AFG","s_shared_u",2017,32,"Shared","urban"
"69","AGO","s_imp_r",2001,11.1125,"Improved","rural"
"70","AGO","s_imp_r",2007,18.3,"Improved","rural"
"71","AGO","s_imp_r",2009,19.6250569050509,"Improved","rural"
"72","AGO","s_imp_r",2011,21.0090063918395,"Improved","rural"
"73","AGO","s_imp_r",2014,25.8767920148861,"Improved","rural"
"74","AGO","s_imp_r",2016,29.36774,"Improved","rural"
"75","AGO","s_imp_u",2001,63.8414965986395,"Improved","urban"
"76","AGO","s_imp_u",2007,83.7,"Improved","urban"
"77","AGO","s_imp_u",2009,80.0942567929841,"Improved","urban"
"78","AGO","s_imp_u",2011,89.0614530480417,"Improved","urban"
"79","AGO","s_imp_u",2014,81.7616420635341,"Improved","urban"
"80","AGO","s_imp_u",2016,87.31857,"Improved","urban"
"81","AGO","s_od_r",2001,73.4,"Open defecation","rural"
"82","AGO","s_od_r",2007,50.9,"Open defecation","rural"
"83","AGO","s_od_r",2009,63.4561009337843,"Open defecation","rural"
"84","AGO","s_od_r",2011,55.69460061225,"Open defecation","rural"
"85","AGO","s_od_r",2016,62.78523,"Open defecation","rural"
"86","AGO","s_od_u",2001,24.2,"Open defecation","urban"
"87","AGO","s_od_u",2007,3,"Open defecation","urban"
"88","AGO","s_od_u",2009,10.2596815815305,"Open defecation","urban"
"89","AGO","s_od_u",2011,5.37149441166117,"Open defecation","urban"
"90","AGO","s_od_u",2016,7.76058,"Open defecation","urban"
"91","AGO","s_sep_r",2001,1.3,"Septic","rural"
"92","AGO","s_sep_r",2007,4,"Septic","rural"
"93","AGO","s_sep_r",2009,12.5893551216791,"Septic","rural"
