iso3,var_short,year,estimate,var_long,residence
AGO,s_shared_r,2000,20.40486,Shared,rural
AGO,s_shared_r,2001,20.40486,Shared,rural
AGO,s_shared_r,2002,20.40486,Shared,rural
AGO,s_shared_r,2003,20.40486,Shared,rural
AGO,s_shared_r,2004,20.40486,Shared,rural
AGO,s_shared_r,2005,20.40486,Shared,rural
AGO,s_shared_r,2006,20.40486,Shared,rural
AGO,s_shared_r,2007,20.40486,Shared,rural
AGO,s_shared_r,2008,20.40486,Shared,rural
AGO,s_shared_r,2009,20.40486,Shared,rural
AGO,s_shared_r,2010,20.40486,Shared,rural
AGO,s_shared_r,2011,20.40486,Shared,rural
AGO,s_shared_r,2012,20.40486,Shared,rural
AGO,s_shared_r,2013,20.40486,Shared,rural
AGO,s_shared_r,2014,20.40486,Shared,rural
AGO,s_shared_r,2015,20.40486,Shared,rural
AGO,s_shared_r,2016,20.40486,Shared,rural
AGO,s_shared_r,2017,20.40486,Shared,rural
AGO,s_shared_r,2018,20.40486,Shared,rural
AGO,s_shared_r,2019,20.40486,Shared,rural
AGO,s_shared_r,2020,20.40486,Shared,rural
AGO,s_shared_u,2000,30.270050000000005,Shared,urban
AGO,s_shared_u,2001,30.270050000000005,Shared,urban
AGO,s_shared_u,2002,30.270050000000005,Shared,urban
AGO,s_shared_u,2003,30.270050000000005,Shared,urban
AGO,s_shared_u,2004,30.270050000000005,Shared,urban
AGO,s_shared_u,2005,30.270050000000005,Shared,urban
AGO,s_shared_u,2006,30.270050000000005,Shared,urban
AGO,s_shared_u,2007,30.270050000000005,Shared,urban
AGO,s_shared_u,2008,30.270050000000005,Shared,urban
AGO,s_shared_u,2009,30.270050000000005,Shared,urban
AGO,s_shared_u,2010,30.270050000000005,Shared,urban
AGO,s_shared_u,2011,30.270050000000005,Shared,urban
AGO,s_shared_u,2012,30.270050000000005,Shared,urban
AGO,s_shared_u,2013,30.270050000000005,Shared,urban
AGO,s_shared_u,2014,30.270050000000005,Shared,urban
AGO,s_shared_u,2015,30.270050000000005,Shared,urban
AGO,s_shared_u,2016,30.270050000000005,Shared,urban
AGO,s_shared_u,2017,30.270050000000005,Shared,urban
AGO,s_shared_u,2018,30.270050000000005,Shared,urban
AGO,s_shared_u,2019,30.270050000000005,Shared,urban
AGO,s_shared_u,2020,30.270050000000005,Shared,urban
AIA,s_sep_u,2000,93.9,Septic,urban
AIA,s_sep_u,2001,93.9,Septic,urban
AIA,s_sep_u,2002,93.9,Septic,urban
AIA,s_sep_u,2003,93.9,Septic,urban
AIA,s_sep_u,2004,93.9,Septic,urban
AIA,s_sep_u,2005,93.9,Septic,urban
AIA,s_sep_u,2006,93.9,Septic,urban
AIA,s_sep_u,2007,93.9,Septic,urban
AIA,s_sep_u,2008,93.9,Septic,urban
AIA,s_sep_u,2009,93.9,Septic,urban
AIA,s_sep_u,2010,93.9,Septic,urban
AIA,s_sep_u,2011,93.9,Septic,urban
AIA,s_sep_u,2012,93.9,Septic,urban
AIA,s_sep_u,2013,93.9,Septic,urban
AIA,s_sep_u,2014,93.9,Septic,urban
AIA,s_sep_u,2015,93.9,Septic,urban
AIA,s_sep_u,2016,93.9,Septic,urban
AIA,s_sep_u,2017,93.9,Septic,urban
AIA,s_sep_u,2018,93.9,Septic,urban
AIA,s_sep_u,2019,93.9,Septic,urban
AIA,s_sep_u,2020,93.9,Septic,urban
AIA,s_sew_u,2000,1.2,Sewer,urban
AIA,s_sew_u,2001,1.2,Sewer,urban
AIA,s_sew_u,2002,1.2,Sewer,urban
AIA,s_sew_u,2003,1.2,Sewer,urban
AIA,s_sew_u,2004,1.2,Sewer,urban
AIA,s_sew_u,2005,1.2,Sewer,urban
AIA,s_sew_u,2006,1.2,Sewer,urban
AIA,s_sew_u,2007,1.2,Sewer,urban
AIA,s_sew_u,2008,1.2,Sewer,urban
AIA,s_sew_u,2009,1.2,Sewer,urban
AIA,s_sew_u,2010,1.2,Sewer,urban
AIA,s_sew_u,2011,1.2,Sewer,urban
AIA,s_sew_u,2012,1.2,Sewer,urban
AIA,s_sew_u,2013,1.2,Sewer,urban
AIA,s_sew_u,2014,1.2,Sewer,urban
AIA,s_sew_u,2015,1.2,Sewer,urban
AIA,s_sew_u,2016,1.2,Sewer,urban
AIA,s_sew_u,2017,1.2,Sewer,urban
AIA,s_sew_u,2018,1.2,Sewer,urban
AIA,s_sew_u,2019,1.2,Sewer,urban
AIA,s_sew_u,2020,1.2,Sewer,urban
AIA,s_shared_u,2000,2.4,Shared,urban
AIA,s_shared_u,2001,2.4,Shared,urban
AIA,s_shared_u,2002,2.4,Shared,urban
AIA,s_shared_u,2003,2.4,Shared,urban
AIA,s_shared_u,2004,2.4,Shared,urban
AIA,s_shared_u,2005,2.4,Shared,urban
AIA,s_shared_u,2006,2.4,Shared,urban
AIA,s_shared_u,2007,2.4,Shared,urban
AIA,s_shared_u,2008,2.4,Shared,urban
AIA,s_shared_u,2009,2.4,Shared,urban
AIA,s_shared_u,2010,2.4,Shared,urban
AIA,s_shared_u,2011,2.4,Shared,urban
AIA,s_shared_u,2012,2.4,Shared,urban
